placeId	name	latitude	longitude	kinds	rank	regionId	sourceDatasetId	cityStanding
place.khartoum	Khartoum	15.590024	32.532233	CITY	GLOBAL	sdn-nile-east	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.cape-town	Cape Town	-33.918065	18.433042	CITY,PORT	GLOBAL	zaf-cape	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.durban	Durban	-29.860662	31.010944	CITY,PORT	MAJOR	zaf-natal	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.pretoria	Pretoria	-25.704975	28.227483	CITY	GLOBAL	zaf-transvaal	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.bloemfontein	Bloemfontein	-29.119994	26.229913	CITY	GLOBAL	zaf-orange	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.lagos	Lagos	6.445208	3.389585	CITY,PORT	MAJOR	nga-south	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.kano	Kano	12.001923	8.518092	CITY	SECONDARY	nga-north	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.dakar	Dakar	14.717778	-17.475076	CITY,PORT	MAJOR	SEN	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.freetown	Freetown	8.471957	-13.236162	CITY,PORT	MAJOR	SLE	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.accra	Accra	5.55198	-0.218662	CITY,PORT	MAJOR	GHA	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.luanda	Luanda	-8.83634	13.232481	CITY,PORT	GLOBAL	ago-north	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.lobito	Lobito	-12.370009	13.54123	PORT	SECONDARY	ago-south	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.lourenco-marques	Lourenco Marques	-25.953332	32.587217	CITY,PORT	MAJOR	moz-south	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.beira	Beira	-19.820045	34.870006	PORT	SECONDARY	moz-south	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.zanzibar	Zanzibar	-6.16	39.200026	CITY,PORT	MAJOR	TZA	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.mombasa	Mombasa	-4.03808	39.687972	CITY,PORT	MAJOR	KEN	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.dar-es-salaam	Dar es Salaam	-6.798067	39.266396	CITY,PORT	MAJOR	TZA	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.addis-ababa	Addis Ababa	9.035256	38.698059	CITY	GLOBAL	eth-north-central	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.monrovia	Monrovia	6.314582	-10.79966	CITY,PORT	GLOBAL	LBR	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.tunis	Tunis	36.802778	10.179678	CITY,PORT	GLOBAL	TUN	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.algiers	Algiers	36.765011	3.048607	CITY,PORT	GLOBAL	dza-north	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.oran	Oran	35.711948	-0.621919	CITY,PORT	MAJOR	dza-north	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.fez	Fez	34.056545	-5.002323	CITY	GLOBAL	MAR	curated-natural-earth-populated-places-5.1.2	MAJOR_CAPITAL
place.casablanca	Casablanca	33.601922	-7.618313	CITY,PORT	MAJOR	MAR	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.mogadishu	Mogadishu	2.068627	45.364732	CITY,PORT	MAJOR	SOM	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.djibouti	Djibouti	11.595014	43.148002	CITY,PORT	MAJOR	DJI	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.tananarive	Tananarive	-18.914691	47.514678	CITY	GLOBAL	MDG	curated-natural-earth-populated-places-5.1.2	ORDINARY
