# Reviewed cumulative GRAND/THEATRE label geometry. Reference-derived lines retain measured
# cap height, tracking, angle and curvature; rejected or absent reference titles use the explicit
# reviewed paths recorded in grand-theatre-layout-fallbacks.tsv. Runtime consumes shaped glyphs.
labelKey	fontFace	text	capHeightMapUnits	trackingMapUnits	pathMapCoordinates
water.bay-of-bengal	SERIF	BAY OF BENGAL	1.050420168067227	1.2717391304347825	72.96829971181556,11.155462184873949;92.69565217391305,10.621848739495805
water.japan	SERIF	SEA OF	0.7142857142857142	1.0194767441860464	135.4360465116279,33.07142857142857;136.45639534883722,33.25;137.47674418604652,33.40357142857144;138.49273255813952,33.535714285714285;139.51308139534885,33.642857142857146
water.japan	SERIF	JAPAN	0.5	2.0385174418604652	131.19565217391303,33.35000000000001;133.27391304347827,33.15357142857144;135.34883720930233,33.142857142857146;137.43313953488374,33.31785714285715;139.51308139534885,33.675000000000004
water.bering	SERIF	BERING SEA	0.7711442786069652	0.965843023255814	176.38081395348837,57.60696517412935;191.1627906976744,57.549751243781095
water.coral	SERIF	CORAL SEA	1.512605042016807	0.304796511627907	149.17151162790697,-15.466386554621845;158.59011627906978,-15.764705882352935
water.tasman	SERIF	TASMAN SEA	1.1042944785276074	0.0	147.6453488372093,-43.00613496932515;155.10174418604652,-43.00613496932515
water.gulf-of-mexico	SERIF	GULF OF MEXICO	0.7086614173228346	0.6370639534883721	-96.36627906976742,24.03149606299213;-83.89534883720933,23.96850393700788
water.caribbean	SERIF	CARIBBEAN SEA	0.9453781512605043	3.2507267441860463	-88.01598837209303,17.289915966386555;-79.07703488372096,17.084033613445374;-70.13808139534882,16.94117647058823;-61.19912790697674,16.8655462184874;-52.26017441860466,16.852941176470583
water.hudson-bay	SERIF	HUDSON	0.44776119402985076	1.2122093023255816	-88.60465116279067,59.32587064676617;-87.08720930232556,59.41542288557214;-85.57412790697674,59.44278606965174;-84.05668604651163,59.405472636815915;-82.54360465116281,59.30597014925373
water.hudson-bay	SERIF	BAY	0.2985074626865672	1.0356104651162792	-81.08284883720933,58.35820895522388;-80.56395348837214,58.343283582089555;-80.04505813953489,58.36069651741293;-79.53052325581393,58.40547263681592;-79.01162790697674,58.482587064676615
political.british-empire	SERIF	BRITISH	0.509950248756219	1.3770348837209303	-21.039244186046517,54.84825870646766;-12.776162790697697,54.80348258706467
political.british-empire	SERIF	EMPIRE	0.472636815920398	1.1847383720930234	-21.25726744186045,53.266169154228855;-19.478197674418595,53.298507462686565;-17.703488372093034,53.31592039800995;-15.92441860465118,53.31840796019901;-14.149709302325562,53.30597014925373
water.atlantic	SERIF	ATLANTIC OCEAN	1.55	2.1	-58,8;-32,12;-6,8
water.north-atlantic	SERIF	NORTH	1.4	4.1	-55,45;-35,46;-15,45
water.north-atlantic	SERIF	ATLANTIC	1.45	4.0	-62,34;-36,35;-10,34
water.north-atlantic	SERIF	OCEAN	1.4	3.85	-52,23;-34,24;-15,24
water.mediterranean	SERIF	MEDITERRANEAN SEA	1.05	0.82	1,35;18,35.8;35,35.2
water.southern	SERIF	SOUTHERN OCEAN	1.75	2.35	-24,-57;20,-59;64,-57
water.baltic	SERIF	BALTIC SEA	0.72	0.42	10,56.5;19,58.5;28,57.7
water.norwegian	SERIF	NORWEGIAN SEA	0.82	0.54	-8,64;3,67.5;14,68
water.black	SERIF	BLACK SEA	0.55	0.48	28,44;34,44.6;41,43
water.caspian	SERIF	CASPIAN SEA	0.55	0.44	48,47;51,42;53,37
water.red	SERIF	RED SEA	0.46	0.3	33,29;38,20;42,13
water.arabian	SERIF	ARABIAN SEA	0.72	0.72	52,15;63,12;74,14
water.south-china	SERIF	CHINA	0.86	1.1	108,19;114,18;120,17
water.south-china	SERIF	SEA	0.68	0.82	111,12;116,11;121,10
