labelKey	variant	fontFace	lineIndex	glyphIndex	glyph	baselineMapX	baselineMapY	rotationDegrees	fontScaleMapUnits
water.arctic	DEFAULT	SERIF	0	9	E	199.55204261118655	78.2163222173713	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	10	A	210.81188448211242	78.19679174631793	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	11	N	222.12209302325581	78.17717391304348	-0.09938083	4.425543E-4
water.bay-of-bengal	DEFAULT	SERIF	0	0	B	82.36355764310441	14.237620094211115	38.45056	8.173105E-4
water.bay-of-bengal	DEFAULT	SERIF	0	1	A	83.03381564116195	14.769823732542255	38.45056	8.173105E-4
water.bay-of-bengal	DEFAULT	SERIF	0	2	Y	83.77946035950959	15.361886539946038	38.45056	8.173105E-4
water.bay-of-bengal	DEFAULT	SERIF	0	3	\s	84.44325663868513	15.88895939235667	38.45056	8.173105E-4
water.bay-of-bengal	DEFAULT	SERIF	0	4	O	84.83566072481638	16.20053923610581	38.45056	8.173105E-4
water.bay-of-bengal	DEFAULT	SERIF	0	5	F	85.6322812254554	16.83307824354919	38.45056	8.173105E-4
water.bay-of-bengal	DEFAULT	SERIF	0	6	\s	86.24869156616288	17.322525332542725	38.45056	8.173105E-4
water.bay-of-bengal	DEFAULT	SERIF	0	7	B	86.64109565229413	17.634105176291868	38.45056	8.173105E-4
water.bay-of-bengal	DEFAULT	SERIF	0	8	E	87.31135365035169	18.16630881462302	38.45056	8.173105E-4
water.bay-of-bengal	DEFAULT	SERIF	0	9	N	87.96509836682188	18.685400444490632	38.45056	8.173105E-4
water.bay-of-bengal	DEFAULT	SERIF	0	10	G	88.78253996163623	19.334471984344532	38.45056	8.173105E-4
water.bay-of-bengal	DEFAULT	SERIF	0	11	A	89.55474952427656	19.947628022754863	38.45056	8.173105E-4
water.bay-of-bengal	DEFAULT	SERIF	0	12	L	90.3003942426242	20.53969083015864	38.45056	8.173105E-4
water.japan	DEFAULT	SERIF	0	0	S	135.4360465116279	33.07142857142857	9.926811	7.093205E-4
water.japan	DEFAULT	SERIF	0	1	E	136.21784732532691	33.208251668657134	9.926811	7.093205E-4
water.japan	DEFAULT	SERIF	0	2	A	137.0426083705688	33.338230189432785	8.559271	7.093205E-4
water.japan	DEFAULT	SERIF	0	3	\s	137.9223602906225	33.461529754537544	7.410482	7.093205E-4
water.japan	DEFAULT	SERIF	0	4	O	138.60008268922508	33.54698670485147	5.994439	7.093205E-4
water.japan	DEFAULT	SERIF	0	5	F	139.51308139534885	33.642857142857146	5.994439	7.093205E-4
water.japan	DEFAULT	SERIF	1	0	J	131.19565217391303	33.35000000000001	-5.399319	4.965243E-4
water.japan	DEFAULT	SERIF	1	1	A	133.1755107813206	33.16287200101835	-5.399319	4.965243E-4
water.japan	DEFAULT	SERIF	1	2	P	135.32119077259816	33.14299990075968	-0.29585558	4.965243E-4
water.japan	DEFAULT	SERIF	1	3	A	137.39750038253368	33.31486484582581	4.7993517	4.965243E-4
water.japan	DEFAULT	SERIF	1	4	N	139.51308139534885	33.675000000000004	9.743136	4.965243E-4
water.bering	DEFAULT	SERIF	0	0	B	176.38081395348837	57.60696517412935	-0.22176333	7.6578377E-4
water.bering	DEFAULT	SERIF	0	1	E	178.05639630963003	57.60047979982007	-0.22176333	7.6578377E-4
water.bering	DEFAULT	SERIF	0	2	R	179.7111273508627	57.59407513093332	-0.22176333	7.6578377E-4
water.bering	DEFAULT	SERIF	0	3	I	181.500938649549	57.58714763126588	-0.22176333	7.6578377E-4
water.bering	DEFAULT	SERIF	0	4	N	182.9525960151468	57.58152896301587	-0.22176333	7.6578377E-4
water.bering	DEFAULT	SERIF	0	5	G	184.81402704765077	57.57432425776671	-0.22176333	7.6578377E-4
water.bering	DEFAULT	SERIF	0	6	\s	186.61834360888238	57.56734061519664	-0.22176333	7.6578377E-4
