labelKey	variant	fontFace	lineIndex	glyphIndex	glyph	baselineMapX	baselineMapY	rotationDegrees	fontScaleMapUnits
water.north-sea	DEFAULT	SERIF	0	3	T	1.1800646858659205	56.111051468665956	0.829189	3.8289189E-4
water.north-sea	DEFAULT	SERIF	0	4	H	2.2250579409287186	56.12122572678586	-1.4538745	3.8289189E-4
water.north-sea	DEFAULT	SERIF	0	5	\s	3.3088966568812905	56.09371752662613	-1.4538745	3.8289189E-4
water.north-sea	DEFAULT	SERIF	0	6	S	4.222489744809453	56.06793374224089	-3.795155	3.8289189E-4
water.north-sea	DEFAULT	SERIF	0	7	E	5.2082607979513735	56.00254262760461	-3.795155	3.8289189E-4
water.north-sea	DEFAULT	SERIF	0	8	A	6.221590909090908	55.93532338308457	-3.795155	3.8289189E-4
islands.caribbean	DEFAULT	SERIF	0	0	C	-66.62790697674416	17.222689075630257	-3.3720276	9.179441E-4
islands.caribbean	DEFAULT	SERIF	0	1	A	-64.21993179807066	17.08080870166845	-3.3720276	9.179441E-4
islands.caribbean	DEFAULT	SERIF	0	2	R	-61.828721988988974	16.945264287988298	-1.5072529	9.179441E-4
islands.caribbean	DEFAULT	SERIF	0	3	I	-59.414569119506936	16.881741657398706	-1.5072529	9.179441E-4
islands.caribbean	DEFAULT	SERIF	0	4	B	-57.35302766232001	16.827787508502528	0.3635564	9.179441E-4
islands.caribbean	DEFAULT	SERIF	0	5	B	-55.05724034055408	16.84235506312388	0.3635564	9.179441E-4
islands.caribbean	DEFAULT	SERIF	0	6	E	-52.76145301878816	16.85692261774523	0.3635564	9.179441E-4
islands.caribbean	DEFAULT	SERIF	0	7	A	-50.48915311578981	16.946473221708956	2.2861803	9.179441E-4
islands.caribbean	DEFAULT	SERIF	0	8	N	-48.095930232558146	17.042016806722685	2.2861803	9.179441E-4
water.arctic	DEFAULT	SERIF	0	0	A	98.04347826086956	78.39239130434783	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	1	R	109.35368680201294	78.37277347107337	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	2	C	120.67215862498888	78.35314130493454	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	3	T	131.98944997913162	78.33351118634775	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	4	I	143.29100174883135	78.31390836845505	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	5	C	154.4627019468766	78.29453078128854	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	6	\s	165.77999330101932	78.27490066270175	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	7	O	176.89660495351416	78.25561862796454	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	8	C	188.2347512570438	78.23595233595809	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	9	E	199.55204261118655	78.2163222173713	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	10	A	210.81188448211242	78.19679174631793	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	11	N	222.12209302325581	78.17717391304348	-0.09938083	4.425543E-4
water.bay-of-bengal	DEFAULT	SERIF	0	0	B	72.96829971181556	11.155462184873949	-1.5494398	0.0010431183
water.bay-of-bengal	DEFAULT	SERIF	0	1	A	74.62354852328768	11.110688664304234	-1.5494398	0.0010431183
water.bay-of-bengal	DEFAULT	SERIF	0	2	Y	76.37502364512902	11.063312277834964	-1.5494398	0.0010431183
water.bay-of-bengal	DEFAULT	SERIF	0	3	\s	78.02202448714092	11.01876186005664	-1.5494398	0.0010431183
water.bay-of-bengal	DEFAULT	SERIF	0	4	O	79.3226106118237	10.983581759516722	-1.5494398	0.0010431183
water.bay-of-bengal	DEFAULT	SERIF	0	5	F	81.13915304829564	10.93444533991537	-1.5494398	0.0010431183
water.bay-of-bengal	DEFAULT	SERIF	0	6	\s	82.72566878093261	10.891531009273912	-1.5494398	0.0010431183
water.bay-of-bengal	DEFAULT	SERIF	0	7	B	84.02625490561539	10.856350908733994	-1.5494398	0.0010431183
water.bay-of-bengal	DEFAULT	SERIF	0	8	E	85.68150371708752	10.81157738816428	-1.5494398	0.0010431183
water.bay-of-bengal	DEFAULT	SERIF	0	9	N	87.31567438438354	10.767374019172564	-1.5494398	0.0010431183
water.bay-of-bengal	DEFAULT	SERIF	0	10	G	89.15879361133838	10.717518712798952	-1.5494398	0.0010431183
water.bay-of-bengal	DEFAULT	SERIF	0	11	A	90.94417705207172	10.669225125965076	-1.5494398	0.0010431183
water.bay-of-bengal	DEFAULT	SERIF	0	12	L	92.69565217391305	10.621848739495805	-1.5494398	0.0010431183
water.japan	DEFAULT	SERIF	0	0	S	135.4360465116279	33.07142857142857	9.926811	7.093205E-4
water.japan	DEFAULT	SERIF	0	1	E	136.21784732532691	33.208251668657134	9.926811	7.093205E-4
water.japan	DEFAULT	SERIF	0	2	A	137.0426083705688	33.338230189432785	8.559271	7.093205E-4
water.japan	DEFAULT	SERIF	0	3	\s	137.9223602906225	33.461529754537544	7.410482	7.093205E-4
water.japan	DEFAULT	SERIF	0	4	O	138.60008268922508	33.54698670485147	5.994439	7.093205E-4
water.japan	DEFAULT	SERIF	0	5	F	139.51308139534885	33.642857142857146	5.994439	7.093205E-4
water.japan	DEFAULT	SERIF	1	0	J	131.19565217391303	33.35000000000001	-5.399319	4.965243E-4
water.japan	DEFAULT	SERIF	1	1	A	133.1755107813206	33.16287200101835	-5.399319	4.965243E-4
water.japan	DEFAULT	SERIF	1	2	P	135.32119077259816	33.14299990075968	-0.29585558	4.965243E-4
water.japan	DEFAULT	SERIF	1	3	A	137.39750038253368	33.31486484582581	4.7993517	4.965243E-4
water.japan	DEFAULT	SERIF	1	4	N	139.51308139534885	33.675000000000004	9.743136	4.965243E-4
water.bering	DEFAULT	SERIF	0	0	B	176.38081395348837	57.60696517412935	-0.22176333	7.6578377E-4
water.bering	DEFAULT	SERIF	0	1	E	178.05639630963003	57.60047979982007	-0.22176333	7.6578377E-4
water.bering	DEFAULT	SERIF	0	2	R	179.7111273508627	57.59407513093332	-0.22176333	7.6578377E-4
water.bering	DEFAULT	SERIF	0	3	I	181.500938649549	57.58714763126588	-0.22176333	7.6578377E-4
water.bering	DEFAULT	SERIF	0	4	N	182.9525960151468	57.58152896301587	-0.22176333	7.6578377E-4
water.bering	DEFAULT	SERIF	0	5	G	184.81402704765077	57.57432425776671	-0.22176333	7.6578377E-4
water.bering	DEFAULT	SERIF	0	6	\s	186.61834360888238	57.56734061519664	-0.22176333	7.6578377E-4
water.bering	DEFAULT	SERIF	0	7	S	187.94307992720837	57.562213197344605	-0.22176333	7.6578377E-4
water.bering	DEFAULT	SERIF	0	8	E	189.5080596564417	57.55615591266785	-0.22176333	7.6578377E-4
water.bering	DEFAULT	SERIF	0	9	A	191.1627906976744	57.549751243781095	-0.22176333	7.6578377E-4
water.coral	DEFAULT	SERIF	0	0	C	149.17151162790697	-15.466386554621845	-1.8141463	0.0015020904
water.coral	DEFAULT	SERIF	0	1	O	150.53323951403442	-15.509517120410278	-1.8141463	0.0015020904
water.coral	DEFAULT	SERIF	0	2	R	151.97402359551717	-15.555151665495524	-1.8141463	0.0015020904
water.coral	DEFAULT	SERIF	0	3	A	153.34022636062699	-15.598423965961135	-1.8141463	0.0015020904
water.coral	DEFAULT	SERIF	0	4	L	154.6751049728602	-15.640704123686499	-1.8141463	0.0015020904
water.coral	DEFAULT	SERIF	0	5	\s	155.8488879417278	-15.677881833033453	-1.8141463	0.0015020904
water.coral	DEFAULT	SERIF	0	6	S	156.44988640085128	-15.696917503701613	-1.8141463	0.0015020904
water.coral	DEFAULT	SERIF	0	7	E	157.4461658367513	-15.728473070853836	-1.8141463	0.0015020904
water.coral	DEFAULT	SERIF	0	8	A	158.59011627906978	-15.764705882352935	-1.8141463	0.0015020904
water.tasman	DEFAULT	SERIF	0	0	T	147.6453488372093	-43.00613496932515	0.0	0.0010966181
water.tasman	DEFAULT	SERIF	0	1	A	148.56352286472648	-43.00613496932515	0.0	0.0010966181
water.tasman	DEFAULT	SERIF	0	2	S	149.5118458901621	-43.00613496932515	0.0	0.0010966181
water.tasman	DEFAULT	SERIF	0	3	M	150.14908607343895	-43.00613496932515	0.0	0.0010966181
water.tasman	DEFAULT	SERIF	0	4	A	151.38382457910012	-43.00613496932515	0.0	0.0010966181
water.tasman	DEFAULT	SERIF	0	5	N	152.33214760453575	-43.00613496932515	0.0	0.0010966181
water.tasman	DEFAULT	SERIF	0	6	\s	153.41751152960083	-43.00613496932515	0.0	0.0010966181
water.tasman	DEFAULT	SERIF	0	7	S	153.69159332885968	-43.00613496932515	0.0	0.0010966181
water.tasman	DEFAULT	SERIF	0	8	E	154.32883351213653	-43.00613496932515	0.0	0.0010966181
water.tasman	DEFAULT	SERIF	0	9	A	155.10174418604652	-43.00613496932515	0.0	0.0010966181
water.gulf-of-mexico	DEFAULT	SERIF	0	0	G	-96.36627906976742	24.03149606299213	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	1	U	-95.30634883143789	24.02614223149261	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	2	L	-94.24058147571048	24.020758916030978	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	3	F	-93.27469368434687	24.015880103921084	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	4	\s	-92.35550283216631	24.01123716350811	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	5	O	-91.6386653831124	24.007616333781783	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	6	F	-90.55668381239087	24.002151118425385	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	7	\s	-89.63749296021032	23.99750817801241	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	8	M	-88.92065551115641	23.99388734828608	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	9	E	-87.74917147366733	23.987970045510593	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	10	X	-86.79625505429901	23.98315675331651	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	11	I	-85.75059332516432	23.977874993724384	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	12	C	-84.94295627214332	23.97379552458738	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	13	O	-83.89534883720933	23.96850393700788	-0.28940523	7.037353E-4
water.caribbean	DEFAULT	SERIF	0	0	C	-88.01598837209303	17.289915966386555	-1.3194056	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	1	A	-84.93757781792391	17.219013884947632	-1.3194056	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	2	R	-81.87244703488564	17.148417663756277	-1.3194056	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	3	I	-78.79178397175242	17.079474899683834	-0.9155898	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	4	B	-75.98596077104047	17.034633869205557	-0.9155898	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	5	B	-72.99788454527459	16.98688017714221	-0.9155898	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	6	E	-70.00979653122643	16.940091084404386	-0.4847537	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	7	A	-67.03841819065214	16.914950994652614	-0.4847537	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	8	N	-63.972584258647686	16.889011739741132	-0.4847537	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	9	\s	-60.83294415409576	16.865029853613485	-0.080794156	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	10	S	-58.130079852690585	16.861218477021218	-0.080794156	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	11	E	-55.23165615496104	16.857131337230197	-0.080794156	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	12	A	-52.26017441860466	16.852941176470583	-0.080794156	9.388065E-4
water.hudson-bay	DEFAULT	SERIF	0	0	H	-88.60465116279067	59.32587064676617	3.3774085	4.4464864E-4
water.hudson-bay	DEFAULT	SERIF	0	1	U	-87.35651921342567	59.399529488862854	3.3774085	4.4464864E-4
water.hudson-bay	DEFAULT	SERIF	0	2	D	-86.1322974592117	59.43269190270713	1.0360475	4.4464864E-4
water.hudson-bay	DEFAULT	SERIF	0	3	S	-84.90208827675899	59.42626081998092	-1.4086019	4.4464864E-4
